optaPersonId,firstName,lastName,Speed PC1,Dynamic Movement/Acceleration PC1,Attacking Runs PC1,Creation PC1,Goals PC1,Ball Carrying PC1,BTL PC1,Pressing PC1,1v1 Att PC1,Aerial Presence PC1
501553,Patrik,Wålemark,0.898379219,0.417272709,0.226445191,0.855197372,0.232015012,0.142994649,0.954311023,0.762696535,0.930152735,0.628525611
513956,Alberto,Moleiro,0.323780223,0.853039294,0.556791329,0.899801806,0.767983136,0.751460268,0.970175868,0.119625197,0.272966811,0.036194512
532925,Matheus Alfredo,Cadorini da Silva,0.963600987,0.093615512,0.104753822,0.366633172,0.998753086,0.039920835,0.736037267,0.139311295,0.724013692,0.521253481
523678,Marin,Ljubicic,0.47511255,0.107270544,0.285541614,0.551472263,0.870688005,0.16434575,0.231959508,0.509471751,0.729195526,0.574747354
476737,Darren,Yapi,0.517745044,0.748285011,0.22526975,0.736141159,0.263106595,0.149102769,0.85393789,0.614694861,0.175969181,0.951829116
150925,Awer,Mabil,0.353355715,0.403771103,0.927908426,0.839354974,0.997423475,0.446082841,0.973133693,0.26215589,0.027677294,0.755639097
209987,Anders,Dreyer,0.780374754,0.397690312,0.762765119,0.910957349,0.299988871,0.318422391,0.53152203,0.042625219,0.722660205,0.443245425
246703,Sory,Kaba,0.320675468,0.579930176,0.423636403,0.425226076,0.212188131,0.157262805,0.78524736,0.172126324,0.046017998,0.83289561
496289,Indrit,Tuci,0.460884802,0.053296588,0.207782444,0.268964033,0.320905566,0.515685427,0.371286712,0.17855846,0.164237771,0.79108475
492085,Owura,Edwards,0.470089426,0.824784707,0.039810041,0.796150246,0.588487424,0.926610107,0.420828963,0.330972896,0.169583982,0.388876259
492890,Matej,Jurásek,0.892918445,0.332318144,0.353364097,0.09494027,0.909315235,0.092623354,0.476697274,0.525234047,0.546787464,0.390988842
606352,Jesse,van de Haar,0.094400414,0.038170075,0.847408863,0.412060587,0.733036512,0.571252801,0.706697686,0.384898436,0.35767822,0.856799466
460714,Petar,Musa,0.761530076,0.267495387,0.336033201,0.307965104,0.791700119,0.290160624,0.094573232,0.658070664,0.399024153,0.55244344
459121,Ivan,Dolcek,0.836344181,0.082445068,0.646494578,0.185927097,0.507135844,0.641558582,0.44297664,0.981230895,0.085161446,0.96882742
476639,Agustín,Ocampo,0.547023122,0.296601145,0.623413872,0.810658282,0.920049768,0.134185391,0.333983084,0.206698475,0.213313959,0.01952059
428683,Aaron,Drinan,0.835887523,0.108060738,0.887813849,0.904797242,0.425886962,0.520329504,0.98055901,0.893424592,0.390089407,0.20350773
560165,August,Priske,0.703946977,0.194763955,0.764394916,0.450692735,0.566379461,0.962359819,0.95529647,0.274306452,0.301155639,0.088883586
441240,Romain,Faivre,0.865698397,0.834778527,0.757335188,0.396443793,0.311690108,0.141176468,0.564308299,0.597142005,0.694757371,0.737081968
511593,Jérémy,Le Douaron,0.908969308,0.047768561,0.028361084,0.980433198,0.231664354,0.27743725,0.295273683,0.639847573,0.98489052,0.817975638
495439,Joakim,Persson,0.129773351,0.110130007,0.606551014,0.689590365,0.460514032,0.191969687,0.741946009,0.706969218,0.825359449,0.750936155
422078,Willum,Willumsson,0.292257114,0.525360061,0.952382733,0.122071882,0.677589749,0.418606702,0.687317382,0.646730094,0.250376475,0.668660962
510657,Couhaib,Driouech,0.155595975,0.657563136,0.936743625,0.237502806,0.273978453,0.231518506,0.059592972,0.145102018,0.806446038,0.036240641
477240,Konan,N’Dri,0.729837305,0.437830028,0.654362079,0.563002197,0.143105991,0.701015079,0.832523893,0.862093225,0.172349358,0.010862285
230819,Nikola,Cumic,0.291912231,0.342057192,0.479041644,0.36720485,0.469836721,0.809762061,0.550086854,0.31647153,0.517275221,0.910973753
220391,Thomas,Henry,0.649367621,0.655847459,0.666656879,0.938297048,0.11268145,0.414700795,0.314161741,0.830460765,0.325367353,0.245346881
447902,Kamal,Sowah,0.617983075,0.42340296,0.10451373,0.296249983,0.201978268,0.749618527,0.407200393,0.327472879,0.850154699,0.99265581
508144,Jakob,Breum,0.571892775,0.995598415,0.142596589,0.151849502,0.844643354,0.553304714,0.69285715,0.859210018,0.478403768,0.540512618
432070,Junior Walter,Messias,0.004258446,0.895077133,0.697110523,0.771461415,0.478848077,0.558050141,0.418824963,0.14972796,0.242256482,0.874938897
502697,Carlos,Alcaraz,0.919784387,0.17102474,0.230018001,0.704711185,0.361408177,0.064261864,0.372434962,0.028526825,0.755850272,0.297472255
247693,Randal,Kolo Muani,0.251088431,0.679246704,0.958569868,0.531490647,0.4541803,0.65717203,0.316848104,0.656627584,0.157692793,0.896822663
194213,Lyndon,Dykes,0.826816776,0.499031217,0.499660484,0.380397824,0.680168596,0.226768797,0.377268479,0.015488678,0.635885102,0.534158449
169141,Steve,Mounié,0.328176535,0.251137288,0.92509557,0.140953197,0.230111494,0.646233052,0.749972262,0.697726791,0.004100175,0.05525922
539199,Yayah,Kallon,0.744102388,0.456868723,0.588772728,0.372303465,0.148248861,0.746082235,0.870293972,0.444455505,0.940036226,0.653019319
440993,Iliman,Ndiaye,0.540167846,0.475968291,0.251086503,0.127604855,0.128583846,0.273667853,0.194442088,0.146082717,0.884890551,0.32121248
503721,Junior,Kadile,0.21060397,0.526631521,0.749892091,0.008697382,0.306071201,0.017653074,0.841903108,0.176425115,0.456277011,0.063242153
476742,Adonis,Preciado,0.710113906,0.75046961,0.25426708,0.0575687,0.684909914,0.533425759,0.367816277,0.275493554,0.87592774,0.195591839
462831,Scott,Banks,0.137059822,0.01989332,0.699588947,0.423065315,0.15898836,0.383257924,0.377701429,0.346840212,0.745145399,0.306063467
518531,Ange-Yoan,Bonny,0.978767126,0.986116235,0.984481611,0.110441421,0.398678078,0.080506373,0.942223106,0.968487466,0.008334386,0.121732144
463414,Sven,Mijnans,0.91935452,0.640116154,0.15125199,0.8275641,0.892716411,0.997226447,0.579052654,0.855934784,0.38217704,0.181446541
543179,Filipe,de Carvalho,0.400088595,0.859312341,0.892270945,0.129185829,0.098268437,0.189989742,0.947110941,0.705761066,0.056682745,0.635531637
534706,Kylian,Kouassi,0.761899125,0.714042918,0.996136993,0.582195593,0.237633844,0.7300167,0.867771714,0.763979901,0.582095797,0.10920577
430360,Ercan,Kara,0.998277918,0.294903827,0.707119397,0.913317849,0.909527208,0.042485358,0.554992113,0.828999479,0.179330864,0.500277188
516990,Demba,Seck,0.887575885,0.691844882,0.335499482,0.662701484,0.92255091,0.157799528,0.75764838,0.552101651,0.863316456,0.64136244
228348,Efecan,Karaca,0.37520408,0.492074601,0.503913429,0.743383594,0.266863629,0.177954724,0.216564421,0.207059316,0.404791859,0.365905318
198548,Emre,Kilinç,0.802817751,0.929751876,0.992279655,0.077678526,0.297832354,0.856443422,0.514322263,0.089945142,0.633132525,0.345513583
490340,Mehdi,Chahiri,0.006711632,0.960922239,0.987310519,0.395970895,0.859539288,0.55477992,0.815429689,0.197255421,0.53159763,0.759165914
248755,Pontus,Almqvist,0.652545531,0.330867419,0.462244213,0.867849637,0.23576172,0.55632314,0.631222432,0.026438251,0.113057456,0.308291432
450434,Deniz,Undav,0.504064588,0.187757626,0.067718929,0.345126728,0.570485244,0.50039697,0.60167945,0.871279856,0.546272564,0.212388894
428228,Carlos,Rotondi,0.830728026,0.402562092,0.035308911,0.298454613,0.909447372,0.846072363,0.923502323,0.582773001,0.833416676,0.007990709
539200,Alan,Minda,0.220471516,0.700709872,0.681732338,0.250948808,0.13355458,0.333651096,0.344467423,0.698191535,0.539204988,0.892174003
471551,Femi,Azeez,0.245671995,0.799408996,0.222808775,0.697886861,0.435797213,0.963598795,0.014387232,0.061803792,0.849397942,0.706985523
449415,Thelo,Aasgaard,0.34945143,0.240746235,0.004537104,0.950754846,0.239143696,0.567575747,0.994082469,0.712722203,0.098590157,0.820460182
523957,Bénie,Traoré,0.868069976,0.14060835,0.657495422,0.45117959,0.053832121,0.325736291,0.234031834,0.804649798,0.113135541,0.44366103
515291,Luca,Kerber,0.975220415,0.324865436,0.133775524,0.78713836,0.809897925,0.903436253,0.586842268,0.938005866,0.35180214,0.539994571
536908,Alejo,Véliz,0.821180494,0.875193124,0.893576508,0.328054847,0.326577758,0.116157871,0.030790418,0.488254432,0.083439561,0.808451141
538734,Antonio,Raimondo,0.390518068,0.88296457,0.906152965,0.229222507,0.802003087,0.435672095,0.220882003,0.138099237,0.637062564,0.4683902
530211,Emircan,Gürlük,0.610605995,0.770611315,0.466501302,0.751642364,0.187445491,0.919053603,0.023049632,0.485411781,0.150186845,0.255645661
248503,Roberto,González,0.532616605,0.935702365,0.536521818,0.852227653,0.343353199,0.799335757,0.198352268,0.538940845,0.515205506,0.651301552
515846,Tom,Bloxham,0.113442802,0.161510327,0.783863909,0.442977513,0.750608729,0.339195865,0.315199634,0.204463896,0.315762654,0.181706684
442967,Daizen,Maeda,0.738690412,0.655542999,0.525854232,0.358322672,0.327802485,0.667168614,0.204373258,0.967472566,0.145667396,0.43950296
491724,Tyler,Goodrham,0.361881565,0.373150216,0.502584638,0.284560782,0.740903319,0.302690703,0.089850942,0.551655664,0.056912728,0.168063369
